"","x"
"1","CBM"
"2","CBM-P&A"
"3","D&A"
"4","EOR"
"5","EOR-P&A"
"6","GAS"
"7","GAS-P&A"
"8","INJ"
"9","INJ-P&A"
"10","INTENT"
"11","LOC"
"12","O&G"
"13","O&G-P&A"
"14","OIL"
"15","OIL-P&A"
"16","OTHER-P&A()"
"17","OTHER-P&A(2 OIL)"
"18","OTHER-P&A(CATH)"
"19","OTHER-P&A(CLASS ONE (OLD))"
"20","OTHER-P&A(COREHOLE)"
"21","OTHER-P&A(GAS-INJ)"
"22","OTHER-P&A(GAS-STG)"
"23","OTHER-P&A(GSW)"
"24","OTHER-P&A(INJ OR )"
"25","OTHER-P&A(INJ or EOR)"
"26","OTHER-P&A(LH)"
"27","OTHER-P&A(OBS)"
"28","OTHER-P&A(OIL-SWD)"
"29","OTHER-P&A(OIL&GAS-INJ)"
"30","OTHER-P&A(SHUT-IN)"
"31","OTHER-P&A(STRAT)"
"32","OTHER-P&A(TA)"
"33","OTHER-P&A(WATER)"
"34","OTHER()"
"35","OTHER(1O&1SWD)"
"36","OTHER(2OIL)"
"37","OTHER(ABD LOC)"
"38","OTHER(CATH)"
"39","OTHER(CBM/SWD)"
"40","OTHER(CLASS ONE (OLD))"
"41","OTHER(CLASS1)"
"42","OTHER(COREHOLE)"
"43","OTHER(GAS-INJ)"
"44","OTHER(GAS-STG)"
"45","OTHER(GAS INJ)"
"46","OTHER(GAS SHUT-IN)"
"47","OTHER(GSW)"
"48","OTHER(HELIUM)"
"49","OTHER(INJ or EOR)"
"50","OTHER(LH)"
"51","OTHER(Monitor)"
"52","OTHER(MONITOR)"
"53","OTHER(NHDW)"
"54","OTHER(NULL)"
"55","OTHER(OBS)"
"56","OTHER(OBSERVATION)"
"57","OTHER(OIL&GAS-INJ)"
"58","OTHER(Oil)"
"59","OTHER(OIL,SWD)"
"60","OTHER(OIL/GAS)"
"61","OTHER(OTHER)"
"62","OTHER(SHUT-IN)"
"63","OTHER(STRAT)"
"64","OTHER(SWD-P&A)"
"65","OTHER(TA)"
"66","OTHER(TEMP ABD)"
"67","OTHER(WATER)"
"68","SWD"
"69","SWD-P&A"
