"","Var1","Freq"
"1","CBM",7
"2","D&A",135
"3","EOR",12374
"4","EOR-P&A",3912
"5","GAS",20
"6","GAS-P&A",24
"7","INJ",482
"8","INJ-P&A",304
"9","LOC",17
"10","O&G",6
"11","O&G-P&A",10
"12","OIL",288
"13","OIL-P&A",445
"14","OTHER-P&A()",55
"15","OTHER-P&A(INJ or EOR)",1
"16","OTHER-P&A(OIL&GAS-INJ)",5
"17","OTHER-P&A(TA)",12
"18","OTHER-P&A(WATER)",9
"19","OTHER()",77
"20","OTHER(1O&1SWD)",1
"21","OTHER(CBM/SWD)",1
"22","OTHER(CLASS ONE (OLD))",1
"23","OTHER(GSW)",2
"24","OTHER(OIL&GAS-INJ)",6
"25","OTHER(OIL,SWD)",1
"26","OTHER(SHUT-IN)",6
"27","OTHER(TA)",15
"28","OTHER(WATER)",1
"29","SWD",5584
"30","SWD-P&A",1624
